library,residual_delta_pp,residual_input,residual_output,total_input,total_output,residual_token_share_pct,had_residual_runs
image-downloader,23.254999999999995,589491,13821,739656,19731,79.4,2
plural,50.28,905638,17877,1307606,26042,69.2,2
glob,13.635000000000002,1556537,48554,2524179,79163,61.7,2
jsonfile,9.829999999999998,504105,9943,1201797,28926,41.8,2
core,20.644999999999996,892640,22477,2841720,68999,31.4,2
countries-and-timezones,4.26,1452629,23831,5046359,51106,29.0,2
node-dir,16.330000000000002,635642,15801,2287919,72898,27.6,2
gitlab-js,1.75,1392160,27877,5358702,108068,26.0,2
crawler-url-parser,0.0,200186,4529,849465,20689,23.5,1
geo-point,4.8700000000000045,459390,13399,2416211,62636,19.1,2
pull-stream,3.904999999999994,682581,12501,3839744,105002,17.6,2
quill-delta,3.9450000000000074,762390,14536,4935237,124747,15.4,2
q,2.6799999999999997,1349501,36459,11302380,259533,12.0,2
simple-statistics,2.9450000000000003,1076364,22701,10731692,228364,10.0,2
complex.js,7.07,1678357,34999,18764759,362383,9.0,2
omnitool,1.9299999999999926,1820955,25986,37257123,654347,4.9,2
graceful-fs,-0.3100000000000023,1186736,26229,31015344,705812,3.8,2
zip-a-folder,0.0,0,0,217320,8679,0.0,0
dirty,0.0,0,0,1255272,38587,0.0,0
uneval,0.0,0,0,260103,8285,0.0,0
