project,cushman,gptturbo,starcoder
glob,20.833333333333336,22.400000000000002,17.238383498682808
graceful-fs,59.119496855345915,59.74842767295597,10.69182389937107
jsonfile,18.0327868852459,13.114754098360656,34.48275862068966
q,35.33397870280736,38.72216844143272,26.573088092933205
node-dir,21.906693711967545,26.57200811359026,29.006085192697768
zip-a-folder,15.705128205128204,8.333333333333332,0.0
quill-delta,49.588719153936545,45.769682726204465,15.193875668183969
complex.js,33.08880308880309,34.5945945945946,30.077220077220076
pull-stream,51.89873417721519,45.56962025316456,17.429057223264543
countries-and-timezones,10.1427498121713,5.184072126220887,4.3625423091387745
simple-statistics,57.984420642648494,46.95715676728335,45.81907779299027
plural,20.224719101123593,22.47191011235955,21.910112359550563
dirty,48.4375,41.8426724137931,42.423427152317885
geo-point,47.82608695652174,56.52173913043478,39.130434782608695
uneval,0.0,54.23728813559322,0.0
image-downloader,9.30232558139535,10.0,6.666666666666667
crawler-url-parser,21.238938053097346,22.123893805309734,21.238938053097346
gitlab-js,11.731315042573321,7.757805108798486,0.0946073793755913
core,36.13138686131387,35.03649635036496,0.0
omnitool,47.52752752752753,50.7007007007007,16.596596596596598
__median__,27.49774840038532,34.81554547247978,17.333720360973675
