library,status_r3,status_r4,display_status_r3,display_status_r4,score_measurement_complete_r3,score_measurement_complete_r4,no_test_score_r3,no_test_score_r4,score_splices_r3,score_splices_r4,input_tokens_r3,input_tokens_r4,input_tokens_mean,input_tokens_n,cached_input_tokens_r3,cached_input_tokens_r4,cached_input_tokens_mean,cached_input_tokens_n,output_tokens_r3,output_tokens_r4,output_tokens_mean,output_tokens_n,reasoning_tokens_r3,reasoning_tokens_r4,reasoning_tokens_mean,reasoning_tokens_n,cost_usd_r3,cost_usd_r4,cost_usd_mean,cost_usd_n,requests_r3,requests_r4,requests_mean,requests_n,duration_ms_r3,duration_ms_r4,duration_ms_mean,duration_ms_n,tests_passing_r3,tests_passing_r4,tests_passing_mean,tests_passing_n,tests_failures_r3,tests_failures_r4,tests_failures_mean,tests_failures_n,tests_written_r3,tests_written_r4,tests_written_mean,tests_written_n,tests_total_r3,tests_total_r4,tests_total_mean,tests_total_n,total_valid_r3,total_valid_r4,total_valid_mean,total_valid_n,pre_score_r3,pre_score_r4,pre_score_mean,pre_score_n,residual_score_r3,residual_score_r4,residual_score_mean,residual_score_n,benchmark_score_r3,benchmark_score_r4,benchmark_score_mean,benchmark_score_n,benchmark_total_valid_r3,benchmark_total_valid_r4,benchmark_total_valid_mean,benchmark_total_valid_n,benchmark_undetected_r3,benchmark_undetected_r4,benchmark_undetected_mean,benchmark_undetected_n,benchmark_exit_code_r3,benchmark_exit_code_r4,delta_r3,delta_r4,delta_mean,delta_n,benchmark_delta_r3,benchmark_delta_r4,benchmark_delta_mean,benchmark_delta_n,benchmark_minus_agent_score_r3,benchmark_minus_agent_score_r4,benchmark_minus_agent_score_mean,benchmark_minus_agent_score_n
glob,completed,completed,ok,ok,True,True,False,False,,,1290398,1233781,1262089.5,2,1148928,1116288,1132608.0,2,44783,34380,39581.5,2,0,0,0.0,2,0.7682835,0.63020225,0.6992428749999999,2,127,127,127.0,2,744241,600522,672381.5,2,12,9,10.5,2,0,0,0.0,2,12,9,10.5,2,12,9,10.5,2,627,627,627.0,2,40.51,35.73,38.12,2,59.33,44.18,51.754999999999995,2,59.01116427432217,44.1786283891547,51.59489633173844,2,627,627,627.0,2,257,350,303.5,2,0,0,18.82,8.450000000000003,13.635000000000002,2,18.50116427432217,8.448628389154706,13.474896331738439,2,-0.3188357256778289,-0.0013716108452968,-0.16010366826156286,2
fs-extra,completed,completed,ok,fail,True,False,False,False,,,23370512,13540499,18455505.5,2,20945536,12234624,16590080.0,2,367336,213862,290599.0,2,0,0,0.0,2,9.322772,5.30029175,7.311531875,2,1737,1086,1411.5,2,7950609,4987824,6469216.5,2,136,67,101.5,2,0,0,0.0,2,136,67,101.5,2,136,67,101.5,2,1325,,1325.0,1,67.77,,67.77,1,67.92,,67.92,1,68.90566037735849,,68.90566037735849,1,1325,,1325.0,1,412,,412.0,1,0,0,0.15000000000000568,,0.15000000000000568,1,1.1356603773584908,,1.1356603773584908,1,0.9856603773584851,,0.9856603773584851,1
graceful-fs,partial_benchmark,completed,fail,ok,False,True,False,False,,,17122168,13893176,15507672.0,2,15281664,12146688,13714176.0,2,368448,337364,352906.0,2,0,0,0.0,2,7.895318,7.075086,7.485201999999999,2,1562,1245,1403.5,2,9902010,8093717,8997863.5,2,136,126,131.0,2,1,0,0.5,2,137,126,131.5,2,137,126,131.5,2,,313,313.0,1,,97.12,97.12,1,,96.81,96.81,1,,96.1661341853035,96.1661341853035,1,,313,313.0,1,,12,12.0,1,,0,,-0.3100000000000023,-0.3100000000000023,1,,-0.9538658146964991,-0.9538658146964991,1,,-0.6438658146964968,-0.6438658146964968,1
jsonfile,completed,completed,ok,ok,True,True,False,False,,,567273,634524,600898.5,2,509056,587392,548224.0,2,13239,15687,14463.0,2,0,0,0.0,2,0.26879325,0.289209,0.27900112499999996,2,74,70,72.0,2,247689,252063,249876.0,2,8,7,7.5,2,0,0,0.0,2,8,7,7.5,2,8,7,7.5,2,61,61,61.0,2,85.25,80.33,82.78999999999999,2,93.44,91.8,92.62,2,93.44262295081968,91.80327868852459,92.62295081967213,2,61,61,61.0,2,4,5,4.5,2,0,0,8.189999999999998,11.469999999999999,9.829999999999998,2,8.192622950819683,11.473278688524587,9.832950819672135,2,0.0026229508196848883,0.003278688524588347,0.0029508196721366176,2
q,completed,completed,ok,ok,True,True,False,False,,,5560739,5741641,5651190.0,2,5018752,5202432,5110592.0,2,128034,131499,129766.5,2,0,0,0.0,2,2.58516775,2.63930525,2.6122365,2,673,687,680.0,2,2938345,2773196,2855770.5,2,94,96,95.0,2,0,0,0.0,2,94,96,95.0,2,94,96,95.0,2,1026,1032,1029.0,2,63.16,63.37,63.265,2,68.52,63.37,65.945,2,68.51851851851852,63.468992248062015,65.99375538329026,2,1026,1032,1029.0,2,323,377,350.0,2,0,0,5.359999999999999,0.0,2.6799999999999997,2,5.3585185185185225,0.098992248062018,2.7287553832902702,2,-0.0014814814814769761,0.098992248062018,0.048755383290270515,2
node-dir,completed,completed,ok,ok,True,True,False,False,,,1128160,1159759,1143959.5,2,1029760,1046144,1037952.0,2,37097,35801,36449.0,2,0,0,0.0,2,0.62269,0.63079675,0.626743375,2,107,111,109.0,2,711128,698692,704910.0,2,8,9,8.5,2,0,0,0.0,2,8,9,8.5,2,8,9,8.5,2,493,493,493.0,2,58.62,54.36,56.489999999999995,2,76.67,68.97,72.82,2,78.49898580121703,68.96551724137932,73.73225152129817,2,493,493,493.0,2,106,153,129.5,2,0,0,18.050000000000004,14.61,16.330000000000002,2,19.878985801217034,14.605517241379317,17.242251521298176,2,1.82898580121703,-0.004482758620682148,0.9122515212981739,2
zip-a-folder,completed,completed,ok,ok,True,True,False,False,,,105238,112082,108660.0,2,95616,101760,98688.0,2,4472,4207,4339.5,2,0,0,0.0,2,0.0686995,0.0676925,0.068196,2,15,16,15.5,2,105831,92706,99268.5,2,3,2,2.5,2,0,0,0.0,2,3,2,2.5,2,3,2,2.5,2,24,24,24.0,2,100,100,100.0,2,100,100,100.0,2,100,100,100.0,2,24,24,24.0,2,0,0,0.0,2,0,0,0,0,0.0,2,0,0,0.0,2,0,0,0.0,2
quill-delta,completed,completed,ok,ok,True,True,False,False,,,2542782,2392455,2467618.5,2,2286848,2188544,2237696.0,2,65850,58897,62373.5,2,0,0,0.0,2,1.2642735,1.11742675,1.1908501249999999,2,297,285,291.0,2,1371352,1305240,1338296.0,2,32,33,32.5,2,0,0,0.0,2,32,33,32.5,2,32,33,32.5,2,847,851,849.0,2,63.16,65.1,64.13,2,64.23,71.92,68.075,2,64.2266824085006,71.91539365452408,68.07103803151233,2,847,851,849.0,2,303,239,271.0,2,0,0,1.0700000000000074,6.820000000000007,3.9450000000000074,2,1.066682408500597,6.815393654524087,3.941038031512342,2,-0.003317591499410355,-0.004606345475920648,-0.0039619684876655015,2
complex.js,completed,completed,ok,ok,True,True,False,False,,,9174026,9590733,9382379.5,2,8230400,8660480,8445440.0,2,172777,189606,181191.5,2,0,0,0.0,2,3.9361025,4.14143625,4.038769375,2,919,974,946.5,2,8155675,10623700,9389687.5,2,89,99,94.0,2,0,0,0.0,2,89,99,94.0,2,89,99,94.0,2,1295,1295,1295.0,2,68.88,73.9,71.39,2,76.53,80.39,78.46000000000001,2,76.52509652509653,80.3861003861004,78.45559845559846,2,1295,1295,1295.0,2,304,254,279.0,2,0,0,7.650000000000006,6.489999999999995,7.07,2,7.645096525096534,6.486100386100389,7.065598455598462,2,-0.004903474903471761,-0.0038996138996054697,-0.004401544401538615,2
pull-stream,completed,completed,ok,ok,True,True,False,False,,,1999200,1840544,1919872.0,2,1825280,1681792,1753536.0,2,52185,52817,52501.0,2,0,0,0.0,2,0.96741,0.936834,0.9521219999999999,2,229,222,225.5,2,1450484,1166710,1308597.0,2,23,25,24.0,2,0,0,0.0,2,23,25,24.0,2,23,25,24.0,2,474,474,474.0,2,71.94,85.65,78.795,2,76.58,88.82,82.69999999999999,2,76.58227848101265,88.81856540084388,82.70042194092827,2,474,474,474.0,2,111,53,82.0,2,0,0,4.640000000000001,3.1699999999999875,3.904999999999994,2,4.642278481012653,3.1685654008438746,3.905421940928264,2,0.002278481012652378,-0.0014345991561128812,0.0004219409282697484,2
