library,status_temp0,pre_score_temp0,final_score_temp0,delta_residual_temp0,status_r3,status_r4,pre_score_temp1_mean,pre_score_temp1_n,final_score_temp1_mean,final_score_temp1_n,delta_residual_temp1_mean,delta_residual_temp1_n,delta_pre_temp0_minus_temp1,delta_final_temp0_minus_temp1,delta_residual_temp0_minus_temp1
glob,completed,38.44,60.61,22.17,completed,completed,38.12,2,51.754999999999995,2,13.635000000000002,2,0.3200000000000003,8.855000000000004,8.535
fs-extra,completed,98.11,98.26,0.15000000000000568,completed,completed,67.77,1,67.92,1,0.15000000000000568,1,30.340000000000003,30.340000000000003,0.0
graceful-fs,completed,85.99,81.85,-4.140000000000001,partial_benchmark,completed,97.12,1,96.81,1,-0.3100000000000023,1,-11.13000000000001,-14.960000000000008,-3.8299999999999983
jsonfile,completed,65.57,85.25,19.680000000000007,completed,completed,82.78999999999999,2,92.62,2,9.829999999999998,2,-17.22,-7.3700000000000045,9.850000000000009
q,completed,62.05,69.09,7.040000000000006,completed,completed,63.265,2,65.945,2,2.6799999999999997,2,-1.2150000000000034,3.1450000000000102,4.3600000000000065
node-dir,completed,46.65,64.3,17.65,completed,completed,56.489999999999995,2,72.82,2,16.330000000000002,2,-9.839999999999996,-8.519999999999996,1.3199999999999967
zip-a-folder,completed,100,100,0,completed,completed,100.0,2,100.0,2,0.0,2,0.0,0.0,0.0
quill-delta,completed,64.98,66.04,1.0600000000000023,completed,completed,64.13,2,68.075,2,3.9450000000000074,2,0.8500000000000085,-2.0349999999999966,-2.885000000000005
complex.js,completed,70.42,78.3,7.8799999999999955,completed,completed,71.39,2,78.46000000000001,2,7.07,2,-0.9699999999999989,-0.1600000000000108,0.8099999999999952
pull-stream,completed,64.98,67.93,2.950000000000003,completed,completed,78.795,2,82.69999999999999,2,3.904999999999994,2,-13.814999999999998,-14.769999999999982,-0.9549999999999912
countries-and-timezones,completed,8.45,14.05,5.600000000000001,completed,completed,7.12,2,11.379999999999999,2,4.26,2,1.3299999999999992,2.6700000000000017,1.3400000000000016
simple-statistics,completed,67.23,71.76,4.530000000000001,completed,completed,67.31,2,70.255,2,2.9450000000000003,2,-0.0799999999999983,1.5050000000000097,1.5850000000000009
plural,completed,17.98,73.03,55.05,completed,completed,34.269999999999996,2,84.55,2,50.28,2,-16.289999999999996,-11.519999999999996,4.769999999999996
dirty,completed,28.13,28.13,0.0,completed,completed,56.565,2,56.565,2,0.0,2,-28.435,-28.435,0.0
geo-point,completed,84.62,86.15,1.5300000000000011,completed,completed,73.335,2,78.205,2,4.8700000000000045,2,11.28500000000001,7.945000000000007,-3.3400000000000034
uneval,completed,91.53,91.53,0.0,partial_benchmark,partial_benchmark,0.0,2,0.0,2,0.0,2,91.53,91.53,0.0
image-downloader,completed,74.42,86.05,11.629999999999995,completed,completed,73.255,2,96.50999999999999,2,23.254999999999995,2,1.1650000000000063,-10.459999999999994,-11.625
crawler-url-parser,completed,23.89,36.28,12.39,partial_benchmark,completed,29.865,2,29.865,2,0.0,2,-5.974999999999998,6.415000000000003,12.39
gitlab-js,completed,31.41,39.55,8.139999999999997,completed,completed,29.28,2,31.03,2,1.75,2,2.129999999999999,8.519999999999996,6.389999999999997
core,completed,66.55,87.03,20.480000000000004,completed,completed,61.435,2,82.08,2,20.644999999999996,2,5.114999999999995,4.950000000000003,-0.16499999999999204
omnitool,completed,76.08,77.38,1.2999999999999972,completed,completed,78.29,2,80.22,2,1.9299999999999926,2,-2.210000000000008,-2.8400000000000034,-0.6299999999999955
