library,tp500_mut,tp500_stmt,tp500_branch,tp500_cost,tp1000_mut,tp1000_stmt,tp1000_branch,tp1000_cost,agent_mut,agent_stmt,agent_branch,agent_cost
glob,33.86581469648562,62.81,51.37,1.4462375,44.40894568690096,76.05,67.45,1.84262125,51.754999999999995,77.74000000000001,69.8,0.6992428749999999
graceful-fs,26.729559748427672,56.68,41.66,11.67795625,27.044025157232703,54.83,40.9,13.154205,96.81,60.82,51.51,7.485201999999999
jsonfile,68.85245901639344,85.1,73.52,0.42104625,55.73770491803278,76.59,70.58,0.3461625,92.62,98.935,92.64,0.27900112499999996
q,55.27589545014521,80.51,63.5,8.0090325,54.404646660212975,80.64,63.15,7.907715,65.945,86.685,75.61,2.6122365
node-dir,60.85192697768763,78.89,67.3,1.51497625,67.13995943204868,82.69,73.46,1.79454125,72.82,84.08000000000001,75.765,0.626743375
zip-a-folder,95.83333333333334,100,100,0.1885575,95.83333333333334,100,100,0.209005,100.0,100.0,100.0,0.068196
quill-delta,76.85076380728555,88.91,83.59,3.41082125,78.26086956521739,91.43,86.43,3.5494475,68.075,75.62,71.29,1.1908501249999999
complex.js,63.938223938223935,86.04,66.88,3.8476075,61.08108108108108,84.51,66.22,3.8309225,78.46000000000001,94.41,80.65,4.038769375
pull-stream,69.83122362869199,86,71.49,1.90607125,73.41772151898735,88.92,74.29,2.08582375,82.69999999999999,90.08,82.94,0.9521219999999999
countries-and-timezones,16.378662659654395,99,85.1,0.59094125,16.641622839969948,99,87.23,0.6342125,11.379999999999999,71.56,55.2,0.816136375
simple-statistics,76.63096397273613,90.35,87.88,8.40783875,76.67964946445959,91.65,88.16,8.435685,70.255,84.245,79.43,2.4034795
plural,26.40449438202247,78.46,68.18,0.25787875,34.26966292134831,81.53,77.27,0.2662025,84.55,98.46000000000001,95.45,0.28520775
dirty,69.375,85.84,78.84,3.149865,69.375,84.9,76.92,3.63167375,56.565,68.39,61.535,0.33862400000000004
geo-point,74.35897435897436,96.34,88.23,1.55700125,80.51282051282051,100,97.05,1.65076,78.205,96.03,82.755,0.595639875
uneval,89.83050847457628,100,95.83,0.11374125,89.83050847457628,100,95.83,0.13397375,0.0,0.0,0.0,0.071797375
image-downloader,0.0,0,0,0.10405,51.162790697674424,75.75,62.5,0.17555,96.50999999999999,100.0,96.875,0.180996
crawler-url-parser,64.15929203539822,94.59,81.25,0.53757125,68.58407079646017,94.59,85,0.6079675,29.865,35.585,35.0,0.19796862499999998
gitlab-js,9.46073793755913,59.61,22.54,3.57374375,4.730368968779565,59.61,20.8,3.43625125,31.03,60.915,37.195,1.1668487500000002
core,51.5358361774744,88.11,72.72,2.137655,58.36177474402731,91.6,76.13,2.1472675,82.08,96.525,94.315,0.663718
omnitool,57.12855426511814,81.57,73.12,19.24115,58.73873873873874,82.95,76.23,19.631805,80.22,91.82,87.39,7.662404875
